name,bhk,price,sector,display
"2, 3 BHK Flats  in Sector 86",2,2937000,Sector 86,₹29.37 L - 31.38 L
"2, 3 BHK Flats  in Sector 86",2,4000000,Sector 86,₹40 L - 40.05 L
"2, 3 BHK Flats  in Sector 86",3,62000000,Sector 86,Avg. Price: ₹6.2 K/sq.ft
3.5 BHK Flat  in Sector 27A,3.5,39800000,Sector 27,₹3.98 Cr - 4.42 Cr
3.5 BHK Flat  in Sector 27A,3.5,1500000,Sector 27,Avg. Price: ₹15 K/sq.ft
"3, 4 BHK Flats  in Sector 85",3,7000000,Sector 85,₹70 L - 99.99 L
"3, 4 BHK Flats  in Sector 85",3,12000000,Sector 85,₹1.2 Cr
"3, 4 BHK Flats  in Sector 85",4,4440,Sector 85,Avg. Price: ₹4.44 K - ₹6.7 K/sq.ft
3 BHK Flat  in Sector 83,3,18000000,Sector 83,₹1.8 Cr
3 BHK Flat  in Sector 83,3,95000000,Sector 83,Avg. Price: ₹9.5k/sq.ft
"2, 3 BHK Flats  in Sector 63",2,5400000,Sector 63,₹54 L
"2, 3 BHK Flats  in Sector 63",2,7200000,Sector 63,₹72 L
"2, 3 BHK Flats  in Sector 63",3,4910,Sector 63,Avg. Price: ₹4.91 K - 5.52 K/sq.ft
"1, 2, 3 BHK Flats  in Sector 89",1,2442000,Sector 89,₹24.42 L
"1, 2, 3 BHK Flats  in Sector 89",1,3442000,Sector 89,₹34.42 L - 44.19 L
"1, 2, 3 BHK Flats  in Sector 89",2,5007000,Sector 89,₹50.07 L
"1, 2, 3 BHK Flats  in Sector 89",3,77500000,Sector 89,Avg. Price: ₹7.75 K/sq.ft
"2, 3 BHK Flats  in Sector 89",2,8601000,Sector 89,₹86.01 L
"2, 3 BHK Flats  in Sector 89",2,10700000,Sector 89,₹1.07 Cr
"2, 3 BHK Flats  in Sector 89",3,73900000,Sector 89,Avg. Price: ₹7.39 K/sq.ft
"2, 3 BHK Flats  in Sector 75",2,3827000,Sector 75,₹38.27 L
"2, 3 BHK Flats  in Sector 75",2,4926000,Sector 75,₹49.26 L
"2, 3 BHK Flats  in Sector 75",3,76800000,Sector 75,Avg. Price: ₹7.68 K/sq.ft
4 BHK Flat  in Green Field Colony,4,17500000,Unknown,₹1.75 Cr
4 BHK Flat  in Green Field Colony,4,40199999,Unknown,Avg. Price: ₹4.02k/sq.ft
"1, 3 BHK Flats  in Sector 86",1,2500000,Sector 86,₹25 L - 27.56 L
"1, 3 BHK Flats  in Sector 86",1,5292000,Sector 86,₹52.92 L - 53 L
"1, 3 BHK Flats  in Sector 86",3,81100000,Sector 86,Avg. Price: ₹8.11 K/sq.ft
"2, 3 BHK Flats  in Sector 85",2,4200000,Sector 85,₹42 L - 44.71 L
"2, 3 BHK Flats  in Sector 85",2,5982000,Sector 85,₹59.82 L - 60 L
"2, 3 BHK Flats  in Sector 85",3,8840,Sector 85,Avg. Price: ₹8.84 K - 9.29 K/sq.ft
2 BHK Flat  in Sector 78,2,3310000,Sector 78,₹33.1 L - 46.03 L
2 BHK Flat  in Sector 78,2,6820,Sector 78,Avg. Price: ₹6.82 K - 7.31 K/sq.ft
4 BHK Flat  in Sector 84,4,8501000,Sector 84,₹85.01 L
4 BHK Flat  in Sector 84,4,60700000,Sector 84,Avg. Price: ₹6.07k/sq.ft
3 BHK Flat  in Sector 78,3,18900000,Sector 78,₹1.89 Cr
3 BHK Flat  in Sector 78,3,90000000,Sector 78,Avg. Price: ₹9.0k/sq.ft
4 BHK Flat  in Sector 85,4,32500000,Sector 85,₹3.25 Cr
4 BHK Flat  in Sector 85,4,103200000,Sector 85,Avg. Price: ₹10.32k/sq.ft
4 BHK Flat  in Sector 84,4,16000000,Sector 84,₹1.6 Cr
4 BHK Flat  in Sector 84,4,51300000,Sector 84,Avg. Price: ₹5.13k/sq.ft
"3, 3.5, 4 BHK Flats  in Sector 84",3,8200000,Sector 84,₹82 L
"3, 3.5, 4 BHK Flats  in Sector 84",3,10000000,Sector 84,₹1 Cr
"3, 3.5, 4 BHK Flats  in Sector 84",3.5,11500000,Sector 84,₹1.15 Cr
"3, 3.5, 4 BHK Flats  in Sector 84",4,82000000,Sector 84,Avg. Price: ₹8.2 K/sq.ft
"3, 4 BHK Flats  in Sector 81",3,18000000,Sector 81,₹1.8 Cr - 2.31 Cr
"3, 4 BHK Flats  in Sector 81",3,37100000,Sector 81,₹3.71 Cr - 4.8 Cr
"3, 4 BHK Flats  in Sector 81",4,9500,Sector 81,Avg. Price: ₹9.5 K - 12.06 K/sq.ft
